firm_key,example_name,n_name_variants,firm_state,initiated_year,recalls,class_i,class_i_pct,avg_days_to_report,recalls_rolling_3yr,prev_year_recalls,firm_flag
garden fresh foods,"Garden-Fresh Foods, Inc.",1,WI,2013,8,8,100.0,45.0,10,2.0,acute_severe
newly weds foods,Newly Weds Foods Inc,2,IL,2023,5,5,100.0,47.0,8,2.0,acute_severe
reser s fine foods,"Reser's Fine Foods, Inc.",1,OR,2025,1,1,100.0,33.0,7,1.0,acute_severe
fresh ideation food group dba fresh creative cuisine,"FRESH IDEATION FOOD GROUP, LLC dba Fresh Creative Cuisine",1,MD,2023,6,6,100.0,47.0,6,,acute_severe
blue bell creameries,"Blue Bell Creameries, L.P.",1,TX,2015,5,5,100.0,110.0,5,,acute_severe
sunland,"Sunland, Incorporated",1,NM,2012,4,4,100.0,37.0,4,,acute_severe
chetak new york,CHETAK NEW YORK LLC,1,NJ,2025,3,3,100.0,103.0,3,,acute_severe
dierbergs markets corporate office,"Dierbergs Markets, Inc Corporate Office",1,MO,2019,1,1,100.0,29.0,3,2.0,acute_severe
elite confectionery,ELITE CONFECTIONERY LTD,1,,2022,3,3,100.0,48.0,3,,acute_severe
inventure foods,Inventure Foods,1,AZ,2015,2,2,100.0,125.0,3,1.0,acute_severe
lyons magnus,"Lyons Magnus, Inc",1,CA,2022,3,3,100.0,47.0,3,,acute_severe
parkers farm,Parkers Farm Inc,1,MN,2014,3,3,100.0,33.0,3,,acute_severe
publix super markets,"Publix Super Markets, Inc.",1,FL,2016,1,1,100.0,48.0,3,2.0,acute_severe
the pictsweet,The Pictsweet Company,1,TN,2016,3,3,100.0,109.3,3,,acute_severe
working cow homemade,Working Cow Homemade Inc.,1,FL,2018,3,3,100.0,54.0,3,,acute_severe
country fresh products,"Country Fresh Products, LLC",1,TX,2017,1,1,100.0,32.0,2,1.0,acute_severe
dole fresh vegetables,Dole Fresh Vegetables Inc,1,CA,2022,1,1,100.0,55.0,2,1.0,acute_severe
dr praeger s sensible foods,Dr. Praeger'S Sensible Foods,1,NJ,2016,2,2,100.0,68.0,2,,acute_severe
farm country cheese house,"Farm Country Cheese House, Inc.",1,MI,2016,2,1,50.0,44.0,2,,acute_severe
giant eagle,"Giant Eagle, Inc.",2,PA,2020,1,1,100.0,38.0,2,1.0,acute_severe
kareem mart,KAREEM MART INC,1,MI,2021,2,2,100.0,28.5,2,,acute_severe
lehi valley trading,"Lehi Valley Trading Co, Inc",2,AZ,2022,1,1,100.0,54.0,2,1.0,acute_severe
let s do lunch,"Let's Do Lunch, Inc.",1,CA,2016,2,2,100.0,86.0,2,,acute_severe
lipari foods,"Lipari Foods, Inc.",1,MI,2013,2,2,100.0,43.0,2,,acute_severe
numbskull,Numbskull LLC,1,WA,2014,2,2,100.0,57.0,2,,acute_severe
palmer and dba palmer candy,"Palmer and Company, dba Palmer Candy Co",1,IA,2017,2,2,100.0,51.0,2,,acute_severe
pita pal foods,Pita Pal Foods LP,1,TX,2019,2,2,100.0,72.0,2,,acute_severe
renaissance food group,Renaissance Food Group,1,GA,2023,1,1,100.0,33.0,2,1.0,acute_severe
shearers foods,"Shearers Foods, Llc",1,OH,2018,1,1,100.0,22.0,2,1.0,acute_severe
sm fish,SM Fish Corp.,1,NY,2016,2,2,100.0,40.5,2,,acute_severe
snoqualmie gourmet ice cream,Snoqualmie Gourmet Ice Cream,1,WA,2014,2,2,100.0,199.0,2,,acute_severe
whole foods market group,Whole Foods Market Group Inc.,1,MD,2018,2,2,100.0,33.0,2,,acute_severe
3fish,3fish Inc.,1,NC,2012,1,1,100.0,40.0,1,,acute_severe
able groupe,Able Groupe Inc,1,NV,2021,1,1,100.0,17.0,1,,acute_severe
adams extract and spice,Adams Extract & Spice LLC,1,TX,2014,1,1,100.0,68.0,1,,acute_severe
all american seasonings,"All American Seasonings, Inc.",1,CO,2016,1,1,100.0,42.0,1,,acute_severe
alsum farms and produce,"Alsum Farms & Produce, Inc.",1,WI,2021,1,1,100.0,36.0,1,,acute_severe
altijira murray products,"Altijira Murray Products, LLC",1,CA,2016,1,1,100.0,78.0,1,,acute_severe
amrita health foods,Amrita Health Foods,1,NY,2017,1,1,100.0,35.0,1,,acute_severe
and go concepts dba salad and go,AND GO CONCEPTS DBA SALAD AND GO,1,TX,2025,1,1,100.0,57.0,1,,acute_severe
aquamar,Aquamar Inc,1,CA,2023,1,1,100.0,40.0,1,,acute_severe
banner smoked fish,Banner Smoked Fish Inc.,1,NY,2021,1,1,100.0,29.0,1,,acute_severe
belgian yummies,Belgian Yummies,1,FL,2024,1,1,100.0,56.0,1,,acute_severe
blessing seafood,"Blessing Seafood, Inc.",1,AZ,2013,1,1,100.0,26.0,1,,acute_severe
boku international,BoKU International,1,CA,2014,1,1,100.0,63.0,1,,acute_severe
brand castle,Brand Castle LLC,1,OH,2019,1,1,100.0,44.0,1,,acute_severe
c g higgins confections,"C.G. Higgins Confections, LLC",1,NM,2012,1,1,100.0,26.0,1,,acute_severe
caito foods service,"Caito Foods Service, Inc.",1,IN,2012,1,1,100.0,39.0,1,,acute_severe
calbee north america,"Calbee North America, LLC",1,OR,2016,1,1,100.0,28.0,1,,acute_severe
caledonia facility of revolution farms,Caledonia Facility of Revolution Farms LLC,1,MI,2023,1,1,100.0,42.0,1,,acute_severe
california new foods,California New foods,1,CA,2019,1,1,100.0,58.0,1,,acute_severe
california snack foods,California Snack Foods Inc,1,CA,2014,1,1,100.0,109.0,1,,acute_severe
catsmo,CATSMO LLC,1,NY,2019,1,1,100.0,64.0,1,,acute_severe
coborn s,"Coborn's, Inc",1,MN,2019,1,1,100.0,29.0,1,,acute_severe
condies foods,"Condies Foods, Inc.",1,UT,2018,1,1,100.0,29.0,1,,acute_severe
country fresh,Country Fresh Inc.,1,TX,2020,1,1,100.0,20.0,1,,acute_severe
csm bakery products na atlanta frozen,CSM Bakery Products NA-Atlanta Frozen,1,GA,2014,1,1,100.0,265.0,1,,acute_severe
dairy fresh,Dairy Fresh LLC,1,NC,2013,1,1,100.0,42.0,1,,acute_severe
dairy maid dairy,"Dairy Maid Dairy, LLC",1,MD,2017,1,1,100.0,27.0,1,,acute_severe
danisco usa,Danisco USA Inc.,1,KS,2024,1,1,100.0,40.0,1,,acute_severe
del monte fresh produce na,"Del Monte Fresh Produce NA, Inc",1,MD,2014,1,1,100.0,43.0,1,,acute_severe
el campestre,El Campestre,1,CA,2013,1,1,100.0,55.0,1,,acute_severe
elevated ice cream,Elevated Ice Cream Company,1,WA,2014,1,1,100.0,71.0,1,,acute_severe
essential foods dba globespun gourmet,Essential Foods Inc. dba Globespun Gourmet,1,WA,2016,1,1,100.0,105.0,1,,acute_severe
farrell farms,"Farrell Farms, Inc",1,NC,2017,1,1,100.0,45.0,1,,acute_severe
fieldbrook foods,Fieldbrook Foods Corporation,1,NY,2018,1,1,100.0,21.0,1,,acute_severe
florimont,"Florimont, Inc.",1,HI,2014,1,1,100.0,40.0,1,,acute_severe
flowers foods corporate offices,Flowers Foods (Corporate Offices),1,GA,2021,1,1,100.0,26.0,1,,acute_severe
floyd peterson,Floyd Peterson Company Inc.,1,WA,2012,1,1,100.0,44.0,1,,acute_severe
fona int l,FONA Int'l,1,IL,2016,1,1,100.0,42.0,1,,acute_severe
fresh express div of chiquita brands,Fresh Express Inc (Div of Chiquita Brands),1,IL,2021,1,1,100.0,46.0,1,,acute_severe
