hazard_tag,initiated_year,initiated_month,recalls,class_i,avg_days_to_classify,class_i_cumulative
salmonella,2009,4,1,1,-9.0,1
listeria,2012,5,1,1,-7.0,1
other,2012,5,1,1,-9.0,1
foreign_metal,2012,6,3,0,-8.3,0
other,2012,6,1,0,-12.0,1
listeria,2012,7,5,4,-9.6,5
other,2012,7,1,0,-12.0,1
salmonella,2012,8,1,1,-9.0,2
allergen_other,2012,9,1,0,-6.0,0
listeria,2012,9,5,2,-6.8,7
other,2012,9,3,1,-7.3,2
salmonella,2012,9,7,7,-7.3,9
listeria,2012,11,2,2,-7.0,9
other,2012,11,2,0,-10.0,2
allergen_egg,2012,12,1,1,-9.0,1
other,2012,12,1,0,-9.0,2
allergen_other,2013,1,2,0,-8.0,0
other,2013,1,1,1,-6.0,3
foreign_metal,2013,2,1,0,-8.0,0
other,2013,2,1,0,-8.0,3
other,2013,3,4,0,-8.5,3
other,2013,4,1,0,-12.0,3
allergen_other,2013,5,2,2,-6.5,2
other,2013,5,2,0,-7.5,3
allergen_milk,2013,6,1,0,-6.0,0
allergen_other,2013,6,1,1,-12.0,3
label,2013,6,2,0,-8.0,0
listeria,2013,6,2,2,-6.0,11
other,2013,6,1,1,-6.0,4
salmonella,2013,6,1,1,-12.0,10
other,2013,7,1,0,-6.0,4
allergen_egg,2013,9,1,1,-6.0,2
allergen_milk,2013,10,2,0,-8.0,0
listeria,2013,10,9,9,-8.4,20
other,2013,10,1,0,-12.0,4
listeria,2013,11,4,4,-7.0,24
other,2013,11,2,0,-6.5,4
other,2013,12,1,0,-7.0,4
listeria,2014,3,4,4,-7.0,28
other,2014,3,2,0,-6.5,4
allergen_egg,2014,4,1,1,-9.0,3
foreign_metal,2014,4,1,0,-7.0,0
other,2014,4,3,0,-7.0,4
other,2014,5,4,0,-6.8,4
salmonella,2014,5,1,0,-7.0,10
allergen_other,2014,6,1,1,-6.0,4
other,2014,6,2,0,-7.5,4
listeria,2014,7,1,0,-9.0,28
other,2014,7,1,0,-6.0,4
salmonella,2014,7,3,3,-8.7,13
label,2014,8,1,0,-6.0,0
listeria,2014,8,1,1,-7.0,29
other,2014,8,2,1,-10.5,5
salmonella,2014,9,1,1,-12.0,14
listeria,2014,10,1,1,-8.0,30
other,2014,10,2,0,-12.0,5
salmonella,2014,10,1,1,-8.0,15
allergen_peanut,2014,12,1,1,-9.0,1
listeria,2014,12,8,8,-8.6,38
other,2014,12,1,0,-9.0,5
allergen_peanut,2015,1,2,1,-9.0,2
allergen_peanut,2015,2,1,0,-9.0,2
other,2015,2,5,0,-8.6,5
allergen_milk,2015,3,1,1,-6.0,1
listeria,2015,3,5,5,-12.0,43
