state,pop_k,initiated_year,recall_exposures,class_i_exposures,listed_exposures,exposures_per_million,class_i_per_million
WY,580,2009,1,1,0,1.724,1.724
VT,650,2009,1,1,0,1.538,1.538
DC,680,2009,1,1,0,1.471,1.471
AK,730,2009,1,1,0,1.37,1.37
ND,780,2009,1,1,0,1.282,1.282
SD,900,2009,1,1,0,1.111,1.111
DE,1000,2009,1,1,0,1.0,1.0
MT,1100,2009,1,1,0,0.909,0.909
RI,1100,2009,1,1,0,0.909,0.909
HI,1400,2009,1,1,0,0.714,0.714
ME,1400,2009,1,1,0,0.714,0.714
NH,1400,2009,1,1,0,0.714,0.714
WV,1800,2009,1,1,0,0.556,0.556
ID,1900,2009,1,1,0,0.526,0.526
NE,2000,2009,1,1,0,0.5,0.5
NM,2100,2009,1,1,0,0.476,0.476
KS,2900,2009,1,1,0,0.345,0.345
MS,2900,2009,1,1,0,0.345,0.345
AR,3000,2009,1,1,0,0.333,0.333
IA,3200,2009,1,1,0,0.313,0.313
NV,3200,2009,1,1,0,0.313,0.313
PR,3200,2009,1,1,0,0.313,0.313
UT,3400,2009,1,1,0,0.294,0.294
CT,3600,2009,1,1,0,0.278,0.278
OK,4000,2009,1,1,0,0.25,0.25
OR,4200,2009,1,1,0,0.238,0.238
KY,4500,2009,1,1,0,0.222,0.222
LA,4600,2009,1,1,0,0.217,0.217
AL,5100,2009,1,1,0,0.196,0.196
SC,5300,2009,1,1,0,0.189,0.189
MN,5700,2009,1,1,0,0.175,0.175
CO,5900,2009,1,1,0,0.169,0.169
WI,5900,2009,1,1,0,0.169,0.169
MD,6200,2009,1,1,0,0.161,0.161
MO,6200,2009,1,1,0,0.161,0.161
IN,6800,2009,1,1,0,0.147,0.147
MA,7000,2009,1,1,0,0.143,0.143
TN,7100,2009,1,1,0,0.141,0.141
AZ,7400,2009,1,1,0,0.135,0.135
WA,7800,2009,1,1,0,0.128,0.128
VA,8700,2009,1,1,0,0.115,0.115
NJ,9300,2009,1,1,0,0.108,0.108
MI,10000,2009,1,1,0,0.1,0.1
NC,10800,2009,1,1,0,0.093,0.093
GA,11000,2009,1,1,0,0.091,0.091
OH,11700,2009,1,1,0,0.085,0.085
IL,12500,2009,1,1,0,0.08,0.08
PA,12900,2009,1,1,0,0.078,0.078
NY,19500,2009,1,1,0,0.051,0.051
FL,22600,2009,1,1,0,0.044,0.044
TX,30500,2009,1,1,0,0.033,0.033
CA,38900,2009,1,1,0,0.026,0.026
WY,580,2012,4,3,0,6.897,5.172
VT,650,2012,6,3,2,9.231,4.615
DC,680,2012,4,3,0,5.882,4.412
AK,730,2012,4,3,0,5.479,4.11
ND,780,2012,5,3,1,6.41,3.846
RI,1100,2012,5,4,1,4.545,3.636
SD,900,2012,5,3,1,5.556,3.333
DE,1000,2012,4,3,0,4.0,3.0
ME,1400,2012,5,4,1,3.571,2.857
